"File number
","Original file Number
","File format
","Folder number
","Camera number
","Laying point number
","Date taken
","Shooting time
","Working days
","Object category
","Object category
","Number of animals
","Gender
","Independent detection of the first sheet
","Note
"
L-AZH17-XB28-0022,IMAG0022,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/1/2017,16:36,11,Mammals,Yellow-throat Marten,1,,,
L-AZH17-XB28-0023,IMAG0023,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/1/2017,16:36,11,Mammals,Yellow-throat Marten,1,,,
L-AZH17-XB28-0024,IMAG0024,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,6/1/2017,16:37,11,Mammals,Yellow-throat Marten,2,,,
L-AZH17-XB28-0025,IMAG0025,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:35,16,Mammals,Pseudois nayaur,1,,1,
L-AZH17-XB28-0026,IMAG0026,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:35,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0027,IMAG0027,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:35,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0028,IMAG0028,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:35,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0029,IMAG0029,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:44,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0030,IMAG0030,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:44,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0031,IMAG0031,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:44,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0032,IMAG0032,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:44,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0033,IMAG0033,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:44,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0034,IMAG0034,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:44,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0035,IMAG0035,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:44,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0036,IMAG0036,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:44,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0037,IMAG0037,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:45,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0038,IMAG0038,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:45,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0039,IMAG0039,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:45,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0040,IMAG0040,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:45,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0041,IMAG0041,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:45,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0042,IMAG0042,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:45,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0043,IMAG0043,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:45,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0044,IMAG0044,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,6/6/2017,6:45,16,Mammals,Pseudois nayaur,1,,,
L-AZH17-XB28-0045,IMAG0045,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/9/2017,9:08,19,Mammals,Chinese Gazelle,1,,1,
L-AZH17-XB28-0046,IMAG0046,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/9/2017,9:08,19,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0047,IMAG0047,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/9/2017,9:08,19,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0048,IMAG0048,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,6/9/2017,9:08,19,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0049,IMAG0049,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:01,36,Mammals,Pseudois nayaur,3,,1,
L-AZH17-XB28-0050,IMAG0050,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:01,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0051,IMAG0051,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:01,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0052,IMAG0052,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:01,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0053,IMAG0053,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:01,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0054,IMAG0054,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:01,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0055,IMAG0055,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:01,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0056,IMAG0056,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:01,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0057,IMAG0057,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:02,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0058,IMAG0058,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:02,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0059,IMAG0059,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:02,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0060,IMAG0060,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:02,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0061,IMAG0061,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:05,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0062,IMAG0062,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:05,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0063,IMAG0063,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:05,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0064,IMAG0064,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:06,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0065,IMAG0065,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:06,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0066,IMAG0066,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:06,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0067,IMAG0067,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:06,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0068,IMAG0068,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:06,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0069,IMAG0069,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:06,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0070,IMAG0070,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:06,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0071,IMAG0071,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:06,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0072,IMAG0072,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,6/26/2017,8:06,36,Mammals,Pseudois nayaur,3,,,
L-AZH17-XB28-0073,IMAG0073,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/27/2017,11:27,37,Mammals,Chinese Gazelle,1,,1,
L-AZH17-XB28-0074,IMAG0074,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/27/2017,11:27,37,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0075,IMAG0075,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/27/2017,11:27,37,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0076,IMAG0076,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,6/27/2017,11:27,37,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0077,IMAG0077,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/27/2017,11:27,37,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0078,IMAG0078,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/27/2017,11:27,37,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0079,IMAG0079,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/27/2017,11:27,37,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0080,IMAG0080,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,6/27/2017,11:28,37,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0081,IMAG0081,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/28/2017,18:43,38,Empty,,,,,
L-AZH17-XB28-0082,IMAG0082,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/28/2017,18:43,38,Empty,,,,,
L-AZH17-XB28-0083,IMAG0083,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/28/2017,18:43,38,Empty,,,,,
L-AZH17-XB28-0084,IMAG0084,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,6/28/2017,18:44,38,Empty,,,,,
L-AZH17-XB28-0085,IMAG0085,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,7/10/2017,7:09,50,Mammals,Pseudois nayaur,2,,1,
L-AZH17-XB28-0086,IMAG0086,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,7/10/2017,7:09,50,Mammals,Pseudois nayaur,2,,,
L-AZH17-XB28-0087,IMAG0087,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,7/10/2017,7:09,50,Mammals,Pseudois nayaur,2,,,
L-AZH17-XB28-0088,IMAG0088,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,7/10/2017,7:09,50,Mammals,Pseudois nayaur,2,,,
L-AZH17-XB28-0089,IMAG0089,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,7/10/2017,7:09,50,Mammals,Pseudois nayaur,2,,,
L-AZH17-XB28-0090,IMAG0090,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,7/10/2017,7:10,50,Mammals,Pseudois nayaur,2,,,
L-AZH17-XB28-0091,IMAG0091,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,7/10/2017,7:10,50,Mammals,Pseudois nayaur,2,,,
L-AZH17-XB28-0092,IMAG0092,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,7/10/2017,7:10,50,Mammals,Pseudois nayaur,2,,,
L-AZH17-XB28-0093,IMAG0093,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,7/11/2017,1:02,51,Empty,,,,,
L-AZH17-XB28-0094,IMAG0094,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,7/11/2017,1:02,51,Empty,,,,,
L-AZH17-XB28-0095,IMAG0095,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,7/11/2017,1:02,51,Empty,,,,,
L-AZH17-XB28-0096,IMAG0096,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,7/11/2017,1:02,51,Empty,,,,,
L-AZH17-XB28-0097,IMAG0097,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,7/12/2017,5:42,52,Empty,,,,,
L-AZH17-XB28-0098,IMAG0098,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,7/12/2017,5:42,52,Empty,,,,,
L-AZH17-XB28-0099,IMAG0099,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,7/12/2017,5:42,52,Empty,,,,,
L-AZH17-XB28-0100,IMAG0100,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,7/12/2017,5:43,52,Empty,,,,,
L-AZH17-XB28-0101,IMAG0105,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,7/12/2017,5:44,52,Empty,,,,,
L-AZH17-XB28-0102,IMAG0106,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,7/12/2017,5:44,52,Empty,,,,,
L-AZH17-XB28-0103,IMAG0107,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,7/12/2017,5:44,52,Empty,,,,,
L-AZH17-XB28-0104,IMAG0108,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,7/12/2017,5:44,52,Empty,,,,,
L-AZH17-XB28-0105,IMAG0109,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,7/20/2017,11:22,60,Mammals,Chinese Gazelle,1,,1,
L-AZH17-XB28-0106,IMAG0110,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,7/20/2017,11:22,60,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0107,IMAG0111,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,7/20/2017,11:22,60,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0108,IMAG0112,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,7/20/2017,11:22,60,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0109,IMAG0113,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/4/2017,11:44,75,Mammals,Chinese Gazelle,1,,1,
L-AZH17-XB28-0110,IMAG0114,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/4/2017,11:44,75,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0111,IMAG0115,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/4/2017,11:44,75,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0112,IMAG0116,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,8/4/2017,11:44,75,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0113,IMAG0117,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/4/2017,11:44,75,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0114,IMAG0118,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/4/2017,11:44,75,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0115,IMAG0119,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/4/2017,11:44,75,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0116,IMAG0120,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,8/4/2017,11:45,75,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0117,IMAG0121,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/4/2017,11:45,75,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0118,IMAG0122,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/4/2017,11:45,75,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0119,IMAG0123,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/4/2017,11:45,75,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0120,IMAG0124,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,8/4/2017,11:45,75,Empty,,,,,
L-AZH17-XB28-0121,IMAG0125,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/6/2017,13:07,77,Empty,,,,,
L-AZH17-XB28-0122,IMAG0126,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/6/2017,13:07,77,Empty,,,,,
L-AZH17-XB28-0123,IMAG0127,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/6/2017,13:07,77,Empty,,,,,
L-AZH17-XB28-0124,IMAG0128,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,8/6/2017,13:07,77,Empty,,,,,
L-AZH17-XB28-0125,IMAG0177,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/7/2017,9:26,78,Mammals,Chinese Gazelle,1,,1,
L-AZH17-XB28-0126,IMAG0178,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/7/2017,9:26,78,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0127,IMAG0179,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/7/2017,9:26,78,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0128,IMAG0180,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,8/7/2017,9:27,78,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0129,IMAG0181,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/10/2017,2:50,81,Mammals,Chinese Gazelle,1,,1,
L-AZH17-XB28-0130,IMAG0182,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/10/2017,2:50,81,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0131,IMAG0183,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/10/2017,2:50,81,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0132,IMAG0184,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,8/10/2017,2:50,81,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0133,IMAG0185,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/13/2017,19:07,84,Mammals,Takin,1,,1,
L-AZH17-XB28-0134,IMAG0186,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/13/2017,19:07,84,Mammals,Takin,1,,,
L-AZH17-XB28-0135,IMAG0187,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/13/2017,19:07,84,Mammals,Takin,1,,,
L-AZH17-XB28-0136,IMAG0188,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,8/13/2017,19:07,84,Mammals,Takin,1,,,
L-AZH17-XB28-0137,IMAG0189,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/13/2017,19:07,84,Mammals,Takin,1,,,
L-AZH17-XB28-0138,IMAG0190,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/13/2017,19:07,84,Mammals,Takin,1,,,
L-AZH17-XB28-0139,IMAG0191,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/13/2017,19:07,84,Mammals,Takin,1,,,
L-AZH17-XB28-0140,IMAG0192,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,8/13/2017,19:07,84,Mammals,Takin,1,,,
L-AZH17-XB28-0141,IMAG0193,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/14/2017,1:36,85,Mammals,Chinese Gazelle,1,,1,
L-AZH17-XB28-0142,IMAG0194,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/14/2017,1:36,85,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0143,IMAG0195,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/14/2017,1:36,85,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0144,IMAG0196,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,8/14/2017,1:37,85,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0145,IMAG0197,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/14/2017,10:00,85,Mammals,Takin,1,,1,
L-AZH17-XB28-0146,IMAG0198,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/14/2017,10:01,85,Mammals,Takin,1,,,
L-AZH17-XB28-0147,IMAG0199,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/14/2017,10:01,85,Mammals,Takin,1,,,
L-AZH17-XB28-0148,IMAG0200,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,8/14/2017,10:01,85,Mammals,Takin,1,,,
L-AZH17-XB28-0149,IMAG0201,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/14/2017,10:01,85,Mammals,Takin,1,,,
L-AZH17-XB28-0150,IMAG0202,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/14/2017,10:01,85,Mammals,Takin,1,,,
L-AZH17-XB28-0151,IMAG0203,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/14/2017,10:01,85,Mammals,Takin,1,,,
L-AZH17-XB28-0152,IMAG0204,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,8/14/2017,10:01,85,Mammals,Takin,1,,,
L-AZH17-XB28-0153,IMAG0205,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/14/2017,10:01,85,Empty,,,,,
L-AZH17-XB28-0154,IMAG0206,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/14/2017,10:01,85,Empty,,,,,
L-AZH17-XB28-0155,IMAG0207,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/14/2017,10:01,85,Empty,,,,,
L-AZH17-XB28-0156,IMAG0208,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,8/14/2017,10:02,85,Empty,,,,,
L-AZH17-XB28-0157,IMAG0209,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/24/2017,14:26,95,Empty,,,,,
L-AZH17-XB28-0158,IMAG0210,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/24/2017,14:26,95,Empty,,,,,
L-AZH17-XB28-0159,IMAG0211,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/24/2017,14:26,95,Empty,,,,,
L-AZH17-XB28-0160,IMAG0212,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,8/24/2017,14:26,95,Empty,,,,,
L-AZH17-XB28-0161,IMAG0213,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/24/2017,15:43,95,Mammals,Chinese Gazelle,1,,1,
L-AZH17-XB28-0162,IMAG0214,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/24/2017,15:43,95,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0163,IMAG0215,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/24/2017,15:43,95,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0164,IMAG0216,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,8/24/2017,15:43,95,Empty,,,,,
L-AZH17-XB28-0165,IMAG0217,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/27/2017,12:06,98,Mammals,Chinese Gazelle,1,,1,
L-AZH17-XB28-0166,IMAG0218,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/27/2017,12:06,98,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0167,IMAG0219,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/27/2017,12:06,98,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0168,IMAG0220,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,8/27/2017,12:06,98,Empty,,,,,
L-AZH17-XB28-0169,IMAG0221,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/31/2017,22:20,102,Mammals,Chinese Gazelle,1,,1,
L-AZH17-XB28-0170,IMAG0222,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/31/2017,22:20,102,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0171,IMAG0223,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/31/2017,22:20,102,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0172,IMAG0224,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,8/31/2017,22:21,102,Mammals,Chinese Gazelle,1,,,
L-AZH17-XB28-0173,IMAG0225,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,8/31/2017,22:21,102,Mammals,Chinese Gazelle,1,,,
